ID,Status,Uptime,Country,Location,Ships,Distinct,,,,,,,,,,,
2160,,"100,00 %", Norway,Bergen,56,29,,,,,,,,,,,
2403,,"100,00 %", Germany,Stadersand,56,4,,,,,,,,,,,
3130,,"100,00 %", Denmark,Lunderskov,56,7,,,,,,,,,,,
2073,,"100,00 %", United Kingdom,Felixstowe ,55,7,,,,,,,,,,,
2775,,"0,00 %", Netherlands,Franeker,55,3,,,,,,,,,,,
2589,,"100,00 %", Norway,Asker,54,28,,,,,,,,,,,
3487,,"100,00 %", United States of America,Friday Harbor,54,4,,,,,,,,,,,
2095,,"100,00 %", United Kingdom,Southampton,54,6,,,,,,,,,,,
3031,,"99,00 %", Malta,Malta Freeport,54,51,,,,,,,,,,,
2095,,"100,00 %", United Kingdom,Southampton,54,6,,,,,,,,,,,
3487,,"100,00 %", United States of America,Friday Harbor,54,4,,,,,,,,,,,
2589,,"100,00 %", Norway,Asker,54,28,,,,,,,,,,,
3174,,"100,00 %", United Kingdom,Higham, Kent,53,,,,,,,,,,,
2059,,"100,00 %", Portugal,Azores,53,7,,,,,,,,,,,
3099,,"100,00 %", Netherlands,Espel,53,1,,,,,,,,,,,
2290,,"100,00 %", Greece,Athens,53,16,,,,,,,,,,,
2782,,"100,00 %", Netherlands,Sneek,53,49,,,,,,,,,,,
3812,,"94,00 %", Spain,Valencia,52,0,,,,,,,,,,,
3531,,"100,00 %", Australia,Bunbury,52,32,,,,,,,,,,,
3096,,"100,00 %", United Kingdom,Wirral,52,1,,,,,,,,,,,
3646,,"94,00 %", Netherlands,Urk,52,1,,,,,,,,,,,
2642,,"90,00 %", United Kingdom,Southampton,52,1,,,,,,,,,,,
2030,,"100,00 %", Germany,Rostock,51,14,,,,,,,,,,,
2836,,"100,00 %", France,Brest,51,5,,,,,,,,,,,
3151,,"100,00 %", Norway,Trondheim,51,21,,,,,,,,,,,
