ID;Status;Uptime;Country;Location;Ships;Distinct;Contributor
2474;;100 %; United Kingdom;Gosport;103;11; 
2731;;100 %; Ukraine;Kyiv;102;0; 
3175;;95 %; United Kingdom;Tangmere;101;28; 
3296;;100 %; Norway;Stavanger;101;12; 
2797;;100 %; United States of America;Signal Hill;100;22; 
2481;;100 %; Finland;Vaasa;100;53; 
2334;;99 %; Russian Federation;Ust-Luga;99;84; 
3491;;10 %; Germany;Hamburg;99;0; 
3423;;100 %; Germany;Oldendorf;99;29; 
2573;;100 %; Italy;Venice;99;21; 
2481;;100 %; Finland;Vaasa;99;50; 
2955;;100 %; Canada;Bowen Island;97;1; 
2474;;100 %; United Kingdom;Gosport;94;12; 
3597;;100 %; United States of America;Hampton Virginia;94;40; 
2641;;100 %; Germany;Hooksiel;93;6; 
2720;;100 %; Spain;Vigo Bay;93;22; 
3234;;100 %; France;L'Epine;92;4; 
3329;;100 %; United Kingdom;Plymouth;92;35; 
2912;;96 %; Belgium;Zeebruge;91;17;dotOcean
2697;;100 %; United States of America;Bremerton, WA;90;15; 
3254;;100 %; Netherlands;Emmeloord;90;1; 
2959;;100 %; Spain;Valencia;90;1; 
2899;;100 %; Germany;Berlin;90;67; 
3632;;100 %; Singapore;Singapore;89;0; 
2813;;100 %; Canada;Vancouver;89;0; 
3752;;100 %; Japan;Tokyo;89;87; 
3202;;100 %; Hong Kong;Tsuen Wan;89;2; 
3152;;100 %; Belgium;Zeebrugge;89;63;Citymesh
3090;;100 %; South Africa;Umhlanga;88;31; 
3061;;60 %; Argentina;Buenos Aires;88;33; 
2655;;100 %; Netherlands;Sliedrecht;87;64; 
3939;;100 %; France;Nice;87;3; 
3093;;100 %; Cyprus;Limassol;87;53; 
3207;;100 %; Thailand;Bangkok;87;3; 
3479;;100 %; United States of America;San Diego;87;11; 
3400;;100 %; Philippines;Paranaque;87;85; 
2380;;100 %; Finland;Helsinki;86;32; 
2371;;100 %; Israel;Haifa;85;0; 
3457;;100 %; United States of America;Stephensville, Louisiana;85;74; 
2893;;100 %; Israel;Haifa;85;0; 
2719;;100 %; Lithuania;Klaipeda;85;85; 
2137;;100 %; Germany;Bremen;84;3; 
2825;;100 %; United Kingdom;Alton;84;13; 
2757;;100 %; United States of America;New Orleans;84;83; 
2289;;100 %; France;Six Fours Les Plages;83;78; 
2277;;100 %; United States of America;Dania Beach - Florida;83;2; 
2812;;100 %; United States of America;San Francisco;82;60; 
2807;;100 %; Germany;Bremerhaven;82;0; 
3445;;65 %; United Kingdom;Minster On Sea;82;0; 
3473;;100 %; Netherlands;Breskens;82;2; 
2471;;100 %; France;UBS-Vannes;81;2; 
3470;;76 %; France;Saint-Malo;80;5; 
2923;;100 %; Denmark;Lemvig;79;76; 
3136;;100 %; Norway;Bergen;79;4; 
2464;;99 %; Germany;Wentorf;79;0; 
2073;;100 %; United Kingdom;Felixstowe ;79;14; 
2273;;100 %; Netherlands;Rotterdam;78;1;
2273;;100 %; Netherlands;Rotterdam;78;1; 
2136;;100 %; Netherlands;NW_Overijssel ;78;4; 
2180;;100 %; France;Rouen;77;0; 
3660;;100 %; Australia;Roaming station;76;21; 
3004;;100 %; Slovenia;Izola;76;2; 
2949;;100 %; Norway;Bergen;76;2; 
2116;;100 %; United States of America;Eastport, Annapolis, MD;76;49; 
3593;;100 %; Germany;Rostock;76;54; 
2892;;100 %; Netherlands;Duiven;76;28; 
2402;;100 %; Netherlands;Spijkenisse;75;0; 
3354;;100 %; Australia;Port Hedland;75;75; 
2422;;100 %; Australia;Collaroy Plateau;75;35; 
2379;;100 %; Netherlands;Zeist;74;24;QPS
2043;;73 %; Poland;Szczecin-Golecin;74;37;Advanced Technology Engineering
2473;;100 %; Norway;Oslofjord, Fulehuk Lighthouse;74;7; 
3842;;100 %; United Kingdom;Brighton;74;35; 
2189;;91 %; Italy;Milazzo;73;46; 
3032;;100 %; Spain;Badalona;72;14; 
3721;;100 %; Norway;Bergen;72;5; 
2209;;100 %; France;Saint-Malo;72;1; 
3075;;100 %; Slovenia;Colomban;72;1; 
2537;;100 %; United States of America;Savannah, Georgia;70;20; 
2845;;100 %; Germany;Cuxhaven;70;39; 
2574;;60 %; Netherlands;Zwolle;70;14; 
2070;;100 %; Australia;Nelson Bay, NSW;70;10; 
2511;;100 %; South Africa;Cape Town;70;25; 
2262;;100 %; Sweden;Karlskrona;70;65; 
3574;;100 %; Spain;Vigo;69;0; 
3674;;99 %; United States of America;Seattle, WA;69;0; 
2804;;100 %; Norway;Oslo;69;4; 
2110;;100 %; Germany;Bremen;68;1; 
2463;;100 %; Canada;Prince Rupert;68;0; 
2058;;100 %; Denmark;Humlebaek;68;0; 
2593;;100 %; Canada;Prince Rupert;68;0; 
2020;;99 %; United Kingdom;Liverpool;68;0;www.shipais.com
3307;;83 %; Poland;Gdansk;68;0; 
2648;;100 %; United Kingdom;London;68;3; 
2741;;100 %; United States of America;Stanford;68;4; 
2661;;100 %; Netherlands;Amersfoort;67;19; 
