ID,Status,Uptime,Country,Location,Ships,Distinct,Contributor
3335,,100 %,ÿNetherlands,Genderen,114,36, 
3135,,100 %,ÿNetherlands,Koog aan de Zaan,114,5, 
2718,,100 %,ÿUnknown,Roaming station,114,24, 
3168,,100 %,ÿPoland,Gda?sk,114,1, 
3234,,100 %,ÿFrance,L'Epine,113,16, 
2751,,100 %,ÿNetherlands,Grootegast,112,17, 
2770,,100 %,ÿNew Zealand,Marlborough Sounds,112,91, 
3984,,100 %,ÿNorway,Tromsoe,111,19, 
3367,,100 %,ÿQatar,Doha,111,111, 
2471,,100 %,ÿFrance,UBS-Vannes,110,9, 
3400,,100 %,ÿPhilippines,Paranaque,110,109, 
3752,,100 %,ÿJapan,Tokyo,110,106, 
2335,,100 %,ÿFrance,Le Havre,110,1, 
2731,,100 %,ÿUkraine,Kyiv,109,0, 
2334,,73 %,ÿRussian Federation,Ust-Luga,109,78, 
2757,,100 %,ÿUnited States of America,New Orleans,109,109, 
3152,,100 %,ÿBelgium,Zeebrugge,109,58,Citymesh
2163,,99 %,ÿAustralia,Koumala,109,109, 
2460,,100 %,ÿDenmark,Niv†,108,6, 
2975,,99 %,ÿTurkey,Fethiye,107,97, 
3299,,100 %,ÿNetherlands,Zwijndrecht,106,16, 
2641,,100 %,ÿGermany,Hooksiel,105,6, 
2018,,100 %,ÿUnited Kingdom,Cowes,104,18, 
2018,,100 %,ÿUnited Kingdom,Cowes,104,18, 
2955,,100 %,ÿCanada,Bowen Island,103,1, 
2923,,100 %,ÿDenmark,Lemvig,101,101, 
2597,,100 %,ÿUnited States of America,San Pedro,101,16, 
3198,,100 %,ÿNorway,"Jeloy, Moss",101,7, 
2277,,100 %,ÿUnited States of America,Dania Beach - Florida,100,9, 
2701,,100 %,ÿAustralia,O'Connor,99,59, 
2950,,61 %,ÿUnited States of America,"Anacortes, WA",99,19, 
3317,,100 %,ÿNetherlands,Veere,98,2,Marina Veere B.V.
3264,,100 %,ÿNetherlands,Utrecht,98,16, 
2371,,98 %,ÿIsrael,Haifa,97,0, 
2893,,98 %,ÿIsrael,Haifa,97,0, 
3445,,100 %,ÿUnited Kingdom,Minster On Sea,96,0, 
2708,,100 %,ÿUnited Kingdom,Fareham,96,0, 
3254,,100 %,ÿNetherlands,Emmeloord,96,4, 
2807,,100 %,ÿGermany,Bremerhaven,95,1, 
2912,,100 %,ÿBelgium,Zeebruge,95,25,dotOcean
2831,,99 %,ÿNetherlands,Delft,94,0, 
3504,,59 %,ÿUnited States of America,San Diego,94,25, 
2523,,100 %,ÿNetherlands,Middenbeemster,93,0, 
2607,,100 %,ÿUnknown,Roaming station,93,9, 
3287,,91 %,ÿNetherlands,Renesse,93,8, 
2648,,100 %,ÿUnited Kingdom,London,92,9, 
3329,,100 %,ÿUnited Kingdom,Plymouth,92,23, 
3653,,100 %,ÿGreece,Aegina Island,92,3, 
2130,,100 %,ÿUnited Kingdom,Sheerness,92,0, 
3521,,100 %,ÿUnited States of America,New York City,91,4, 
2649,,100 %,ÿUnited Kingdom,Southampton,91,6, 
3093,,100 %,ÿCyprus,Limassol,89,64, 
3207,,90 %,ÿThailand,Bangkok,89,6, 
2474,,100 %,ÿUnited Kingdom,Gosport,89,0, 
3090,,100 %,ÿSouth Africa,Umhlanga,89,30, 
2812,,100 %,ÿUnited States of America,San Francisco,89,66, 
2720,,100 %,ÿSpain,Vigo Bay,88,36, 
2899,,100 %,ÿGermany,Berlin,88,59, 
2661,,99 %,ÿNetherlands,Amersfoort,87,1, 
2655,,100 %,ÿNetherlands,Sliedrecht,87,48, 
2804,,100 %,ÿNorway,Oslo,87,4, 
2771,,100 %,ÿNetherlands,West-Terschelling,86,30,Maritime Institute Willem Barentsz
2537,,98 %,ÿUnited States of America,"Savannah, Georgia",85,35, 
2037,,100 %,ÿFrance,France,84,5, 
2922,,100 %,ÿSpain,Alcaidesa,84,36, 
