ID;Status;Uptime;Country;Location;Ships;Distinct
3096;;100 %; United Kingdom;Wirral;39;0
2885;;100 %; United Kingdom;Hartlepool;39;38
2447;;100 %; United Kingdom;Rochester;39;1
2522;;100 %; France;Port de Bouc;39;39
3054;;100 %; Finland;Turku;38;1
2266;;93 %; Sweden;Sodersvik;38;9
3841;;100 %; France;Brest;38;0
3582;;100 %; United States of America;Charleston;38;21
2778;;100 %; Norway;Tromsø;38;0
2346;;100 %; Netherlands;Amsterdam;38;0
3233;;100 %; United Kingdom;Roaming station;37;37
3998;;71 %; Faroe Islands;Tórshavn;37;37
2973;;100 %; United States of America;Savannah GA;37;1
2749;;100 %; France;Carnon;37;37
2079;;100 %; Canada;Halifax;37;7
3217;;100 %; United States of America;Seattle, WA;37;7
3076;;100 %; France;Hegenheim;37;26
2713;;81 %; United Kingdom;Scotland, Greenock;37;19
3083;;97 %; Canada;New Westminster;37;0
2504;;100 %; Malaysia;Kota Kinabalu;36;36
3232;;100 %; Germany;Cologne;36;0
2504;;100 %; Malaysia;Kota Kinabalu;36;36
3241;;100 %; Morocco;Casablanca;36;36
3822;;100 %; Canada;Calgary;36;17
2864;;100 %; Canada;Victoria;36;9
2773;;85 %; Spain;Burriana;36;24
2777;;100 %; United Kingdom;Southampton;36;0
2509;;100 %; Portugal;Matosinhos;36;1
2750;;100 %; United States of America;Stevensville, MD;35;5
3215;;100 %; Belgium;Antwerp;35;0
3410;;100 %; Japan;Aomori;35;28
3211;;100 %; New Zealand;Auckland;34;0
3291;;100 %; Greece;Peraia;34;20
3021;;100 %; Netherlands;Echteld;34;2
2493;;100 %; Canada;Sorel-Tracy;34;1
2861;;98 %; Germany;Karlsruhe;34;31
2321;;100 %; Ireland;Cobh;33;5
3598;;100 %; Australia;Tasmania;33;0
3226;;94 %; Poland;Szczecin;33;0
2300;;99 %; Belgium;Antwerp Harbour 1;33;1
2367;;100 %; Spain;Sant Carles de la Rapita;33;33
2179;;100 %; New Zealand;Roaming station;33;2
2415;;100 %; France;Brest;33;2
3367;;100 %; Qatar;Doha;33;33
3727;;100 %; United States of America;Boston, MA;33;3
2240;;99 %; Spain;Vilanova i la Geltru;33;7
3268;;100 %; Netherlands;The Hague;33;0
3251;;100 %; United States of America;Palmetto, FL;33;33
2165;;100 %; Germany;Hamburg;32;3
3862;;100 %; Australia;Tea Tree Gully;32;0
3456;;54 %; Japan;Hakodate;32;25
2590;;100 %; Netherlands;Breda;32;6
2046;;100 %; Portugal;Faial Island;32;10
2377;;100 %; United Kingdom;Poole;32;16
2611;;100 %; New Zealand;Tauranga;32;1
2818;;100 %; United States of America;Hawaii, Kailua;32;16
2030;;100 %; Germany;Rostock;31;15
2140;;100 %; Netherlands;Rotterdam;31;0
2400;;100 %; Denmark;Norresundby;31;28
2132;;100 %; South Africa;Durban;31;0
3710;;99 %; Portugal;Maia;31;4
3220;;94 %; Poland;Szczecin, Dąbie;31;0
3095;;94 %; Poland;Szczecin;31;0
2882;;100 %; United States of America;Roaming station;31;18
2656;;100 %; Italy;Cagliari;31;31
2527;;100 %; Estonia;Vaana-Joesuu;30;9
2319;;100 %; Sweden;Stockholm;30;0
3460;;97 %; United States of America;Everett, Washington;30;23
3470;;5 %; France;Saint-Malo;30;2
3488;;100 %; Australia;Parramatta;30;0
3264;;84 %; Netherlands;Utrecht;30;3
2527;;100 %; Estonia;Vaana-Joesuu;28;10
3115;;100 %; Denmark;Skoedstrup;28;4
