ID;Status;Uptime;Country;Location;Ships;Distinct;Contributor;ships_rel;cum_ships_rel;dist_rel;
2323;;100 %; Netherlands;Marken;428;12; ;0,45 %;51,99 %;0,05 %;55,99 %
2118;;100 %; Greece;Alimos;426;2; ;0,45 %;52,44 %;0,01 %;56,00 %
3074;;100 %; Greece;Piraeus;420;2; ;0,44 %;52,88 %;0,01 %;56,01 %
2946;;100 %; Singapore;Singapore;415;12; ;0,44 %;53,31 %;0,05 %;56,05 %
2459;;100 %; Netherlands;Edam;393;21; ;0,41 %;53,73 %;0,08 %;56,13 %
2446;;100 %; Netherlands;IJmuiden;387;17; ;0,41 %;54,13 %;0,06 %;56,20 %
2577;;100 %; Germany;Hamburg;384;22; ;0,40 %;54,54 %;0,08 %;56,28 %
3332;;100 %; Russian Federation;Vladivostok;373;372; ;0,39 %;54,93 %;1,41 %;57,69 %
2698;;43 %; Netherlands;Arnemuiden Oranjeplaat;370;88; ;0,39 %;55,31 %;0,33 %;58,02 %
2997;;100 %; Singapore;Keppel Bay;365;22; ;0,38 %;55,70 %;0,08 %;58,11 %
3567;;100 %; Singapore;Singapore;362;71; ;0,38 %;56,08 %;0,27 %;58,38 %
2032;;100 %; Greece;Athens;347;2; ;0,36 %;56,44 %;0,01 %;58,38 %
3038;;100 %; Greece;Piraeus;346;0; ;0,36 %;56,80 %;0,00 %;58,38 %
3979;;100 %; Netherlands;Hellevoetsluis;341;3; ;0,36 %;57,16 %;0,01 %;58,39 %
3943;;100 %; Korea;Busan;335;215; ;0,35 %;57,51 %;0,82 %;59,21 %
3182;;47 %; United States of America;Seattle;320;41; ;0,34 %;57,85 %;0,16 %;59,36 %
3808;;100 %; Singapore;Singapore;319;64; ;0,33 %;58,18 %;0,24 %;59,61 %
2413;;81 %; Germany;Hamburg Alster;314;1;www.searoutes.com;0,33 %;58,51 %;0,00 %;59,61 %
2011;;100 %; Sweden;Gothenburg;307;0; ;0,32 %;58,83 %;0,00 %;59,61 %
2744;;100 %; United States of America;Seattle;305;15; ;0,32 %;59,15 %;0,06 %;59,67 %
2164;;100 %; Sweden;Goteborg, West Coast;304;0; ;0,32 %;59,47 %;0,00 %;59,67 %
2475;;100 %; Netherlands;Poortugaal;303;1; ;0,32 %;59,79 %;0,00 %;59,67 %
2672;;100 %; United States of America;Highlands;295;26; ;0,31 %;60,10 %;0,10 %;59,77 %
3857;;100 %; Germany;Hamburg;287;0; ;0,30 %;60,40 %;0,00 %;59,77 %
2484;;93 %; United States of America;Biscayne Bay PS - Miami FL;287;57;SEAiq;0,30 %;60,70 %;0,22 %;59,99 %
2292;;100 %; Belgium;Gent;285;188; ;0,30 %;61,00 %;0,71 %;60,70 %
2954;;100 %; France;Sophia Antipolis, MINES Paristech;284;58;MINES Paristech;0,30 %;61,30 %;0,22 %;60,92 %
2650;;100 %; United States of America;Sabine Pass, TX;280;81; ;0,29 %;61,59 %;0,31 %;61,23 %
2843;;100 %; United Kingdom;Gravesend;279;57;;0,29 %;61,89 %;0,22 %;61,44 %
2249;;100 %; United States of America;San Diego;183;46; ;0,19 %;62,08 %;0,17 %;61,62 %
3715;;100 %; Spain;Valencia;182;60; ;0,19 %;62,27 %;0,23 %;61,84 %
3029;;100 %; Netherlands;Rockanje;181;12; ;0,19 %;62,46 %;0,05 %;61,89 %
2724;;100 %; Australia;North Ryde, NSW;180;59; ;0,19 %;62,65 %;0,22 %;62,11 %
3665;;100 %; Sweden;Stockholm;180;78; ;0,19 %;62,84 %;0,30 %;62,41 %
3681;;100 %; United States of America;Seattle;175;0; ;0,18 %;63,02 %;0,00 %;62,41 %
2981;;100 %; Belgium;Oostende;171;0; ;0,18 %;63,20 %;0,00 %;62,41 %
2270;;100 %; Saint Martin (FR);Simpson Bay;171;9; ;0,18 %;63,38 %;0,03 %;62,44 %
3240;;86 %; Netherlands;Huizen;169;22; ;0,18 %;63,56 %;0,08 %;62,53 %
2726;;100 %; United States of America;Seattle;169;0; ;0,18 %;63,73 %;0,00 %;62,53 %
3965;;100 %; Italy;Genoa;168;11; ;0,18 %;63,91 %;0,04 %;62,57 %
3443;;100 %; United States of America;Seattle;166;0; ;0,17 %;64,08 %;0,00 %;62,57 %
2178;;100 %; France;Rouen;163;0; ;0,17 %;64,25 %;0,00 %;62,57 %
2737;;100 %; Germany;Hamburg;162;1; ;0,17 %;64,42 %;0,00 %;62,57 %
2831;;96 %; Netherlands;Delft;162;0; ;0,17 %;64,59 %;0,00 %;62,57 %
2602;;100 %; Spain;Castelldefels;161;51; ;0,17 %;64,76 %;0,19 %;62,77 %
