,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,TransceiverClass,size,size_scaled,size_traced
10184,538006469,2024-09-01T00:00:03,47.1115,-86.12055,13.3,289.6,288.0,FEDERAL CHURCHILL,IMO9671060,V7NK3,70.0,8.0,200.0,23.0,10.4,A,47840.0,4.834509441452331,4.834509441452331
10218,636017102,2024-09-01T00:00:12,39.25168,-76.54309,0.0,144.2,307.0,MAERSK SARAT,IMO9732591,D5JH6,71.0,5.0,300.0,48.0,13.2,A,190080.0,13.262198048312271,13.262198048312271
10230,352978194,2024-09-01T00:00:47,37.81083,-122.328,0.0,199.4,277.0,YM TOPMOST,IMO9878515,3E2426,70.0,5.0,333.0,48.0,14.0,A,223776.0,15.258678611422173,15.258678611422173
10259,305536000,2024-09-01T00:01:57,29.74721,-95.17844,0.0,360.0,78.0,BBC ECHO,IMO9407603,V2ES5,70.0,5.0,139.0,20.0,5.5,A,15290.0,2.905929125414008,2.905929125414008
10291,215965000,2024-09-01T00:02:11,37.76172,-122.35317,0.1,129.8,227.0,CMA CGM C COLOMB,IMO9453559,9HA5397,71.0,1.0,365.0,52.0,12.3,A,233454.0,15.832097975435042,15.832097975435042
10301,338034000,2024-09-01T00:01:25,29.32351,-94.78106,0.0,322.3,40.0,CAPE HOPE,IMO9292319,WDJ4747,70.0,5.0,63.0,16.0,4.2,A,4233.6,2.2508398656215007,2.2508398656215007
10320,338919000,2024-09-01T00:01:53,29.31265,-94.81885,0.0,240.2,284.0,KENNEDY,IMO6621662,KVMU,70.0,5.0,164.0,24.0,8.7,A,34243.2,4.028902042339892,4.028902042339892
10363,367370000,2024-09-01T00:01:58,30.40187,-87.21121,0.0,352.5,350.0,US GOVT VESSEL,IMO8302466,NWRB,79.0,5.0,205.0,32.0,9.6,A,62976.0,5.731314100854974,5.731314100854974
10371,368160000,2024-09-01T00:02:17,34.00681,-77.95392,0.0,271.6,193.0,SAGAMORE,IMO9322009,WMOJ,79.0,5.0,184.0,26.0,6.9,A,33009.6,3.9558115146021082,3.9558115146021082
10378,212348000,2024-09-01T00:02:15,36.9124,-76.3278,0.0,353.0,354.0,HYUNDAI HONGKONG,IMO9305661,5BZL,70.0,5.0,303.0,40.0,13.0,A,157560.0,11.335395225652785,11.335395225652785
10447,431710000,2024-09-01T00:02:09,37.81134,-122.32204,0.0,89.2,40.0,ONE ALTAIR,IMO9468308,7KHW,70.0,5.0,333.0,46.0,10.6,A,162370.8,11.620434063883112,11.620434063883112
10468,366904940,2024-09-01T00:02:19,46.77175,-92.0234,0.0,228.2,293.0,PAUL R TREGURTHA,IMO7729057,WYR4481,70.0,1.0,309.0,32.0,8.2,A,81081.59999999999,6.804066904850779,6.804066904850779
10500,311001296,2024-09-01T00:01:56,30.11445,-90.98466,0.1,193.3,280.0,ANGEL,IMO9590620,C6GN6,79.0,5.0,190.0,28.0,6.7,A,35644.0,4.111899133175729,4.111899133175729
10593,212282000,2024-09-01T00:05:57,27.40794,-88.568,12.6,154.4,160.0,KYPROS SEA,IMO9675602,5BAV4,70.0,0.0,224.0,32.0,7.5,A,53760.0,5.185268134876198,0.25
10630,413219610,2024-09-01T00:06:28,26.08389,-97.01274,0.1,154.5,33.0,KANG HUAN,IMO9277644,BOCA8,70.0,1.0,190.0,32.0,11.3,A,68704.0,6.0706968366542835,6.0706968366542835
10640,367596830,2024-09-01T00:09:32,29.14353,-90.205,0.0,68.6,251.0,HOS CLAYMORE,IMO9647588,WDH2366,70.0,5.0,100.0,20.0,4.0,A,8000.0,2.473998234356577,2.473998234356577
10654,249476000,2024-09-01T00:12:21,15.94261,-63.5485,10.6,66.6,65.0,GORTYNIA,IMO9702584,9HA4259,70.0,0.0,292.0,45.0,12.0,A,157680.0,11.342505199168134,0.25
10690,249830000,2024-09-01T00:32:45,35.93283,-133.91104,15.5,115.5,116.0,ZIM LUANDA,IMO9403229,9HA2029,70.0,0.0,260.0,32.0,12.5,A,104000.0,8.161977046635503,0.25
10691,369050000,2024-09-01T00:34:41,29.13589,-90.21919,0.0,80.9,259.0,STIM STAR III,IMO9274991,WDA7484,70.0,5.0,79.0,18.0,5.6,A,7963.2,2.471817842478537,2.471817842478537
10705,367750000,2024-09-01T00:51:12,28.85629,-88.04329,0.4,231.8,69.0,HARVEY SUPPLIER,IMO9388118,WDAW,70.0,0.0,77.0,18.0,3.1,A,4296.6,2.254572601717059,0.25
10710,538006472,2024-09-01T00:59:39,40.78759,-66.04327,11.8,168.5,171.0,FEDERAL CARIBOU,IMO9671096,V7NK6,70.0,0.0,200.0,23.0,7.8,A,35880.0,4.125882081089248,0.25
10711,538009565,2024-09-01T01:08:12,30.36339,-77.74871,13.9,205.8,198.0,MARBELLA CARRIER,IMO9063653,V7A4897,70.0,0.0,138.0,22.0,7.4,A,22466.4,3.331129241543575,0.25
10715,563174100,2024-09-01T01:12:43,38.03285,-134.03233,17.9,115.8,115.0,WAN HAI 357,IMO9930387,9V7389,70.0,0.0,204.0,35.0,9.8,A,69972.0,6.145825556799801,0.25
10764,259274000,2024-09-01T03:32:54,21.23953,-109.24743,15.1,120.2,119.0,HOEGH TROTTER,IMO9710749,LAUO7,70.0,0.0,,,10.3,A,,,0.25
10765,538005359,2024-09-01T03:36:04,33.64707,-133.77504,12.7,117.6,120.0,STAR CHALLENGER,IMO9632997,V7DA8,79.0,0.0,200.0,32.0,10.8,A,69120.0,6.095344744840825,0.25
10844,538008546,2024-09-01T12:51:34,36.85127,-133.20243,12.9,124.4,124.0,MARIA D,IMO9414151,V7A2493,70.0,0.0,225.0,32.0,8.3,A,59760.00000000001,5.540766810643631,0.25
10865,636019245,2024-09-01T16:13:32,18.42646,-69.62921,5.2,6.2,24.0,CONTSHIP DON,IMO9347956,D5TP5,70.0,0.0,148.0,23.0,7.8,A,26551.2,3.5731527400060434,0.25
10868,367690920,2024-09-01T16:24:11,28.94706,-95.32726,7.1,172.3,511.0,FREEPORT 1 1/2,,WDI3691,70.0,0.0,14.0,6.0,3.1,A,260.40000000000003,2.0154286425283066,0.25
10937,357839000,2024-09-12T00:00:01,32.09911,-81.11222,0.0,261.3,312.0,TAO BRAVE,IMO9487586,3FLN4,70.0,5.0,158.0,24.0,7.8,A,29577.6,3.7524662720631365,3.7524662720631365
10943,352586000,2024-09-12T00:00:05,20.37307,-116.9713,13.4,178.1,176.0,KEY OPUS,IMO9518206,3FPD,70.0,0.0,229.0,32.0,13.8,A,101126.40000000001,7.99171688085462,0.25
10952,563076300,2024-09-12T00:00:05,36.80196,-75.57758,8.3,267.3,267.0,MAERSK GIRONDE,IMO9235555,9V6212,71.0,0.0,292.0,32.0,11.8,A,110259.20000000001,8.53283326519609,0.25
10984,303923000,2024-09-12T00:00:01,30.0265,-93.99912,0.0,0.0,13.0,CAPE VICTORY,IMO8211306,KAEY,70.0,15.0,193.0,28.0,0.0,A,0.0,2.0,2.0
11004,367622850,2024-09-12T00:00:04,29.11929,-90.21159,0.0,301.9,141.0,FMS ENDURANCE,IMO9209075,WDH4937,75.0,0.0,62.0,13.0,3.2,A,2579.2000000000003,2.1528170307565606,0.25
11016,305536000,2024-09-12T00:00:02,17.10006,-67.37425,13.6,136.0,135.0,BBC ECHO,IMO9407603,V2ES5,70.0,0.0,139.0,20.0,6.0,A,16680.0,2.988286318633463,0.25
11033,366904940,2024-09-12T00:00:06,47.13661,-90.64086,13.2,257.7,257.0,PAUL R TREGURTHA,IMO7729057,WYR4481,70.0,0.0,309.0,32.0,8.3,A,82070.40000000001,6.862653086617253,0.25
11088,351446000,2024-09-12T00:00:02,36.81806,-74.59637,0.9,322.4,146.0,MORNING CAROLINE,IMO9338723,H3OO,79.0,0.0,199.0,32.0,8.0,A,50944.0,5.018420756382683,0.25
11093,366938770,2024-09-12T00:00:05,45.19756,-82.97681,12.3,336.0,336.0,H LEE WHITE,IMO7366362,WZD2465,70.0,0.0,215.0,23.0,8.7,A,43021.5,4.549014379921434,0.25
11142,477136800,2024-09-12T00:00:00,42.0718,-125.88476,16.7,341.8,343.0,COSCO KAOHSIUNG,IMO9355563,VREM3,71.0,0.0,349.0,46.0,11.7,A,187831.8,13.128992694502212,0.25
11203,246900000,2024-09-12T00:00:04,44.0855,-82.63455,11.0,344.8,344.0,VOLGABORG,IMO9631072,PCSQ,70.0,0.0,142.0,15.0,6.3,A,13419.0,2.7950727883538633,0.25
11210,255806187,2024-09-12T00:00:08,41.62396,-70.91424,0.0,299.9,345.0,UHL FRONTIER,IMO9789685,CQAI9,70.0,5.0,150.0,26.0,7.7,A,30030.0,3.779270872216001,3.779270872216001
11216,352283000,2024-09-12T00:00:00,38.24667,-76.27522,14.8,162.5,163.0,FRONTIER ACE,IMO9209271,H3CM,70.0,0.0,190.0,32.0,8.0,A,48640.0,4.881909264887989,0.25
11239,538006785,2024-09-12T00:00:02,42.95339,-86.85102,13.2,8.9,7.0,FEDERAL SETO,IMO9267209,V7RG6,70.0,0.0,199.0,23.0,6.0,A,27462.0,3.62711743898754,0.25
11334,538010900,2024-09-12T00:00:15,21.38172,-112.80763,13.7,124.8,126.0,SSI DOMINION,IMO1029455,V7A6292,70.0,0.0,199.0,32.0,10.3,A,65590.40000000001,5.886216723842704,0.25
11396,538009667,2024-09-12T00:00:14,31.76967,-123.5845,10.3,311.0,311.0,DEVBULK SINEM,IMO9416458,V7A5019,70.0,0.0,180.0,30.0,10.5,A,56700.0,5.35946248600224,0.25
11399,338931000,2024-09-12T00:00:09,36.86599,-76.31589,0.0,0.0,227.0,US GOV VESSEL,IMO9145449,NEHM,70.0,5.0,289.0,32.0,0.0,A,0.0,2.0,2.0
11408,262005000,2024-09-12T00:00:46,31.12983,-81.49259,0.0,197.4,164.0,KOTOR,IMO9575981,4OCE,70.0,5.0,179.0,28.0,9.4,A,47112.8,4.791423001949318,4.791423001949318
11409,352898806,2024-09-12T00:00:20,25.80107,-80.2515,0.0,65.7,123.0,BAHAMAS PEARL,IMO9356347,HOA5301,75.0,5.0,59.0,14.0,2.1,A,1734.6000000000001,2.102774667164365,2.102774667164365
11454,366987890,2024-09-12T00:00:08,29.1217,-90.20847,0.0,189.7,511.0,CAPT RUDY,IMO9337420,WDC2099,70.0,8.0,50.0,10.0,0.0,A,0.0,2.0,2.0
11484,316047639,2024-09-12T00:00:10,49.53024,-124.1081,0.3,258.7,220.0,CANPAC VALOUR,IMO9396684,CFA3516,70.0,0.0,49.0,13.0,2.3,A,1465.1,2.0868068516444778,0.25
11521,563211800,2024-09-12T00:00:15,31.77354,-116.666,0.0,351.8,295.0,EA CETUS,IMO9967495,9V8975,70.0,1.0,272.0,43.0,13.7,A,160235.19999999998,11.493900235221624,11.493900235221624
11526,563174100,2024-09-12T00:00:58,33.7537,-118.26394,0.0,153.2,44.0,WAN HAI 357,IMO9930387,9V7389,70.0,5.0,204.0,35.0,10.1,A,72114.0,6.272738584048775,6.272738584048775
11582,413219610,2024-09-12T00:01:40,26.08678,-97.03276,0.2,155.4,26.0,KANG HUAN,IMO9277644,BOCA8,70.0,1.0,190.0,32.0,11.3,A,68704.0,6.0706968366542835,6.0706968366542835
11585,367750000,2024-09-12T00:00:27,29.43567,-88.8335,1.1,94.0,98.0,HARVEY SUPPLIER,IMO9388118,WDAW,70.0,0.0,77.0,18.0,4.1,A,5682.599999999999,2.3366927958193355,0.25
11611,563098300,2024-09-12T00:02:13,30.19409,-91.11722,0.1,225.4,139.0,SARAH H,IMO9858539,9V8410,70.0,1.0,229.0,32.0,11.6,A,85004.8,7.036515638979245,7.036515638979245
11612,366843080,2024-09-12T00:02:18,29.2549,-89.96931,0.0,298.0,511.0,CAPT LEVERT,IMO1123753,WDA7416,70.0,5.0,36.0,9.0,0.0,A,0.0,2.0,2.0
11614,538002635,2024-09-12T00:01:15,49.30195,-123.22085,0.0,321.5,267.0,STAR NINA,IMO9354832,V7KK6,70.0,1.0,229.0,32.0,8.7,A,63753.59999999999,5.777386729234433,5.777386729234433
11626,538006469,2024-09-12T00:02:06,48.40562,-89.15152,0.1,111.8,200.0,FEDERAL CHURCHILL,IMO9671060,V7NK3,70.0,1.0,200.0,23.0,6.2,A,28520.0,3.6898037054811974,3.6898037054811974
