STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TRANSPORT_MODE,Transport mode,VEHICLE_TYPE,Vehicle type,INFRASTRUCTURE_TYPE,Infrastructure type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LUX,Luxembourg,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2016,,,,M,Missing value; data cannot exist,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,BLR,Belarus,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2019,,,,M,Missing value; data cannot exist,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,NLD,Netherlands,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2016,,109343,,A,Normal value,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,ALB,Albania,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2012,,1171,,A,Normal value,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,IND,India,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2011,,120276,,A,Normal value,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LTU,Lithuania,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2018,,6949,,A,Normal value,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,MKD,North Macedonia,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2019,,,,M,Missing value; data cannot exist,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,GEO,Georgia,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2019,,5499.201493,,A,Normal value,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,ISL,Iceland,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2015,,7255,,A,Normal value,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,ISR,Israel,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2018,,27397,,A,Normal value,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LVA,Latvia,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2018,,4977.6,,A,Normal value,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,ITA,Italy,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2017,,89194,,A,Normal value,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,JPN,Japan,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2018,,298936,,A,Normal value,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,BEL,Belgium,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2019,,117726,,A,Normal value,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,BEL,Belgium,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2018,,109859,,A,Normal value,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LUX,Luxembourg,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2015,,,,M,Missing value; data cannot exist,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LUX,Luxembourg,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2014,,,,M,Missing value; data cannot exist,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LUX,Luxembourg,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2013,,,,M,Missing value; data cannot exist,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LUX,Luxembourg,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2012,,,,M,Missing value; data cannot exist,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LUX,Luxembourg,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2011,,,,M,Missing value; data cannot exist,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LUX,Luxembourg,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2010,,,,M,Missing value; data cannot exist,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LUX,Luxembourg,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2023,,,,M,Missing value; data cannot exist,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LUX,Luxembourg,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2022,,,,M,Missing value; data cannot exist,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LUX,Luxembourg,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2021,,,,M,Missing value; data cannot exist,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LUX,Luxembourg,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2020,,,,M,Missing value; data cannot exist,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LUX,Luxembourg,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2019,,,,M,Missing value; data cannot exist,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LUX,Luxembourg,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2018,,,,M,Missing value; data cannot exist,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LUX,Luxembourg,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2017,,,,M,Missing value; data cannot exist,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,BLR,Belarus,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2018,,,,M,Missing value; data cannot exist,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,BLR,Belarus,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2017,,,,M,Missing value; data cannot exist,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,BLR,Belarus,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2016,,,,M,Missing value; data cannot exist,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,BLR,Belarus,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2015,,,,M,Missing value; data cannot exist,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,BLR,Belarus,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2014,,,,M,Missing value; data cannot exist,3,Thousands,1,One
