,PORT NAME,STATE,Loaded InBound DOMESTIC,Empty InBound DOMESTIC,Loaded OutBound DOMESTIC,Empty OutBound DOMESTIC,Total DOMESTIC,Loaded InBound FOREIGN,Loaded OutBound  FOREIGN,Total OutBound  FOREIGN,Total Loaded Grand,Year
476,Forth,,,,,,,,,,26587.368000000002,2018
477,Fowey,,,,,,,,,,448.969,2018
478,Glensanda,,,,,,,,,,5942.577000000001,2018
479,Goole ,,,,,,,,,,1459.579,2018
480,Great Yarmouth,,,,,,,,,,1181.518,2018
481,Grimsby and Immingham,,,,,,,,,,55616.97899999999,2018
482,Harwich,,,,,,,,,,4196.095,2018
483,Heysham,,,,,,,,,,4703.012,2018
484,Holyhead,,,,,,,,,,5221.951,2018
485,Hull,,,,,,,,,,9752.07,2018
486,Ipswich,,,,,,,,,,2071.29,2018
487,Kilroot Power Station Jetty,,,,,,,,,,579.359,2018
488,Larne,,,,,,,,,,2902.2129999999997,2018
489,Liverpool,,,,,,,,,,32612.655,2018
490,Loch Ryan,,,,,,,,,,2545.898,2018
491,London,,,,,,,,,,53196.045,2018
492,Londonderry,,,,,,,,,,1854.0449999999998,2018
493,Manchester,,,,,,,,,,6789.4800000000005,2018
494,Medway,,,,,,,,,,10204.775,2018
495,Milford Haven,,,,,,,,,,30935.472,2018
496,Newhaven,,,,,,,,,,688.775,2018
497,Newport,,,,,,,,,,2819.263,2018
498,Orkney,,,,,,,,,,3469.952,2018
499,Peterhead,,,,,,,,,,1131.23,2018
500,Plymouth,,,,,,,,,,2441.126,2018
501,Poole ,,,,,,,,,,832.249,2018
502,Port Talbot,,,,,,,,,,6634.654,2018
503,Portsmouth,,,,,,,,,,3488.311,2018
504,Ramsgate ,,,,,,,,,,84.304,2018
505,River Trent,,,,,,,,,,1108.7240000000002,2018
506,Rivers Hull and Humber ,,,,,,,,,,10068.719,2018
507,Shoreham,,,,,,,,,,2123.904,2018
508,Southampton,,,,,,,,,,34468.35,2018
509,Stranraer ,,,,,,,,,,0.0,2018
510,Sullom Voe ,,,,,,,,,,5328.931,2018
511,Sunderland,,,,,,,,,,869.7139999999999,2018
512,Swansea,,,,,,,,,,528.471,2018
513,Tees and Hartlepool,,,,,,,,,,28835.926,2018
514,Tyne,,,,,,,,,,4403.876,2018
515,Warrenpoint,,,,,,,,,,3446.181,2018
516,Aberdeen,,,,,,,,,,4194.505,2019
517,Belfast,,,,,,,,,,18517.506999999998,2019
518,Boston,,,,,,,,,,821.498,2019
519,Bristol,,,,,,,,,,8189.825,2019
520,Cairnryan,,,,,,,,,,2704.839,2019
521,Cardiff,,,,,,,,,,1697.008,2019
522,Clyde,,,,,,,,,,8800.773000000001,2019
523,Cromarty Firth ,,,,,,,,,,929.056,2019
524,Dover,,,,,,,,,,23432.613,2019
525,Dundee,,,,,,,,,,503.44999999999993,2019
526,Felixstowe,,,,,,,,,,25344.149,2019
527,Fishguard,,,,,,,,,,505.389,2019
528,Fleetwood ,,,,,,,,,,0.0,2019
529,Forth,,,,,,,,,,25220.923000000003,2019
530,Fowey,,,,,,,,,,346.04200000000003,2019
531,Glensanda,,,,,,,,,,6646.028,2019
532,Goole ,,,,,,,,,,1242.431,2019
533,Great Yarmouth,,,,,,,,,,1286.381,2019
534,Grimsby and Immingham,,,,,,,,,,51245.356,2019
535,Harwich,,,,,,,,,,4273.06,2019
536,Heysham,,,,,,,,,,4536.437,2019
537,Holyhead,,,,,,,,,,5326.104,2019
538,Hull,,,,,,,,,,9197.309,2019
539,Ipswich,,,,,,,,,,2364.802,2019
540,Kilroot Power Station Jetty,,,,,,,,,,500.899,2019
541,Larne,,,,,,,,,,2766.842,2019
542,Liverpool,,,,,,,,,,34314.657,2019
543,Loch Ryan,,,,,,,,,,2649.7479999999996,2019
544,London,,,,,,,,,,54034.732,2019
545,Londonderry,,,,,,,,,,1908.621,2019
546,Manchester,,,,,,,,,,7307.189,2019
547,Medway,,,,,,,,,,13140.758,2019
548,Milford Haven,,,,,,,,,,34951.297999999995,2019
549,Newhaven,,,,,,,,,,778.4830000000001,2019
550,Newport,,,,,,,,,,2587.609,2019
551,Orkney,,,,,,,,,,3050.037,2019
552,Peterhead,,,,,,,,,,1089.8319999999999,2019
553,Plymouth,,,,,,,,,,2430.5829999999996,2019
554,Poole ,,,,,,,,,,811.897,2019
555,Port Talbot,,,,,,,,,,6713.189,2019
