,port_name,Region/State,Port hub,coord_0,coord_1,Major/Minor ports,id_Port,Year,Loaded InBound DOMESTIC,Empty InBound DOMESTIC,Loaded OutBound DOMESTIC,Empty OutBound DOMESTIC,Total DOMESTIC,Loaded InBound FOREIGN,Loaded OutBound  FOREIGN,Total OutBound  FOREIGN,Total Loaded Grand
86,kahului,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2019.0,75982.9,3314.9,13632.5,53716.55,146646.85,0.0,0.0,0.0,89615.4
87,kahului,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2020.0,64789.1,2551.25,10621.15,49395.15,127356.65,0.0,0.0,0.0,75410.25
88,kahului,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2021.0,74073.95,2886.05,11453.4,56351.0,144764.4,1.0,0.0,1.0,85528.35
89,kahului,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2022.0,77421.3,3170.9,10977.55,58615.35,150185.1,2.0,0.0,2.0,88400.85
90,kake,AK,,,,,,2018.0,569.65,41.85,3343.8,1520.15,5475.45,0.0,0.0,0.0,3913.45
91,kake,AK,,,,,,2019.0,876.45,38.45,3610.65,1792.45,6318.0,0.0,0.0,0.0,4487.1
92,kake,AK,,,,,,2020.0,636.45,24.6,3583.4,1087.3,5331.75,0.0,0.0,0.0,4219.85
93,kake,AK,,,,,,2021.0,781.65,102.5,3657.2,1629.45,6170.8,0.0,0.0,0.0,4438.85
94,kake,AK,,,,,,2022.0,742.1,84.2,3936.35,1732.4,6495.05,0.0,0.0,0.0,4678.45
95,kaumalapau,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2018.0,2300.35,249.4,247.65,999.6,3797.0,0.0,0.0,0.0,2548.0
96,kaumalapau,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2019.0,2927.85,432.8,406.25,1390.25,5157.15,0.0,0.0,0.0,3334.1
97,kaumalapau,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2021.0,2184.8,235.75,604.5,1024.5,4049.55,0.0,0.0,0.0,2789.3
98,kaumalapau,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2022.0,2929.15,145.05,314.35,1427.5,4816.05,0.0,0.0,0.0,3243.5
