MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
316023341,2024-09-01T00:00:05,42.88439,-79.24824,0.0,181.3,181.0,WHITEFISH BAY,IMO9639880,CFN6287,70.0,0.0,225.0,25.0,6.9,70.0,A
367121040,2024-09-01T00:00:02,41.49749,-81.70304,1.7,314.3,152.0,AMERICAN COURAGE,IMO7634226,WDD2879,70.0,0.0,194.0,21.0,0.0,70.0,A
368013860,2024-09-01T00:00:03,41.22914,-71.14676,0.0,48.1,319.0,PAUL CANDIES,IMO9679725,WDJ8177,70.0,3.0,101.0,21.0,5.9,70.0,A
304523000,2024-09-01T00:00:05,27.49505,-88.58057,12.8,335.1,329.0,BBC HOUSTON,IMO9885295,V2HW4,70.0,0.0,149.0,23.0,7.8,70.0,A
477107200,2024-09-01T00:00:04,23.60022,-112.49454,14.3,126.2,126.0,COSCO PACIFIC,IMO9355551,VREC4,71.0,0.0,349.0,46.0,12.2,71.0,A
305462000,2024-09-01T00:00:03,34.39597,-76.56855,13.8,118.9,119.0,BBC OREGON,IMO9501265,V2EK7,70.0,0.0,140.0,21.0,5.9,70.0,A
477617700,2024-09-01T00:00:04,40.49536,-72.41617,8.9,268.4,267.0,OOCL SEOUL,IMO9417244,VRFU8,70.0,0.0,323.0,43.0,10.2,70.0,A
316011905,2024-09-01T00:00:05,44.24327,-83.32574,13.0,44.5,45.0,ROBERT S PIERSON,IMO7366403,CFN4934,79.0,0.0,192.0,21.0,6.2,79.0,A
338663000,2024-09-01T00:00:01,29.04295,-90.12585,0.2,282.7,318.0,C-PERFORMER,IMO9226267,WCZ6248,70.0,0.0,73.0,17.0,5.0,70.0,A
373060000,2024-09-01T00:00:05,48.47698,-124.75735,9.3,90.7,92.0,MOONBRIGHT SW,IMO9610195,3FGP5,70.0,0.0,176.0,28.0,11.4,70.0,A
372945000,2024-09-01T00:00:03,46.60566,-125.29314,15.0,179.3,181.0,ANDROMEDA SPIRIT,IMO9372327,3ELH2,79.0,0.0,180.0,30.0,8.0,79.0,A
316026695,2024-09-01T00:00:04,41.95642,-81.89012,11.0,71.2,71.0,CSL WELLAND,IMO9665279,CFK5151,70.0,0.0,226.0,24.0,7.1,70.0,A
636022176,2024-09-01T00:00:00,34.18793,-127.70383,16.8,306.3,307.0,AMOUREUX,IMO9951161,5LHN4,70.0,0.0,172.0,27.0,9.8,70.0,A
369215000,2024-09-01T00:00:05,32.0468,-80.93117,13.4,138.1,140.0,COLORADO EXPRESS,IMO9349502,WDM2200,70.0,0.0,306.0,40.0,11.4,70.0,A
210517000,2024-09-01T00:00:06,27.81053,-97.27003,12.2,89.0,89.0,PUKA,IMO9374973,5BCE6,70.0,0.0,143.0,19.0,7.4,70.0,A
477154200,2024-09-01T00:00:01,48.37611,-123.2787,15.2,63.9,62.0,SEASPAN FALCON,IMO9793909,VRRN8,72.0,0.0,330.0,48.0,10.6,72.0,A
367655260,2024-09-01T00:00:03,40.49368,-73.87912,4.3,70.7,70.0,SHELIA BORDELON,IMO9670638,WSHQ,79.0,0.0,78.0,16.0,4.0,79.0,A
232023550,2024-09-01T00:00:06,27.81644,-97.21651,7.7,106.8,97.0,ANGLO JESSICA,IMO9490480,MFTU8,70.0,0.0,255.0,43.0,7.6,70.0,A
368294650,2024-09-01T00:00:04,31.26706,-91.83461,0.0,360.0,511.0,ENTERPRISE,,WDN5956,70.0,8.0,49.0,11.0,0.0,33.0,A
249909000,2024-09-01T00:00:01,36.96882,-76.43199,0.0,341.8,230.0,TYSLA,IMO9515400,9HA2067,70.0,5.0,264.0,33.0,10.0,70.0,A
209798000,2024-09-01T00:00:02,39.77093,-72.71346,8.0,321.8,321.0,SYNERGY OAKLAND,IMO9450583,5BKE5,71.0,0.0,260.0,32.0,11.6,71.0,A
538005364,2024-09-01T00:00:05,32.13852,-124.2014,12.7,132.0,134.0,SEA CHARM,IMO9252412,V7DC4,70.0,0.0,225.0,33.0,7.9,70.0,A
338744000,2024-09-01T00:00:04,29.31309,-94.78818,0.1,360.0,511.0,HERCULES,,WDG5248,70.0,12.0,35.0,9.0,3.0,70.0,A
255995000,2024-09-01T00:00:03,34.73915,-128.2993,14.7,273.1,273.0,MISSISSIPPI,IMO9954187,CRZL,70.0,0.0,255.0,37.0,12.4,70.0,A
577369000,2024-09-01T00:00:03,17.80507,-66.62489,8.0,82.4,88.0,MIDNIGHT COAST,IMO7303918,YJWE5,70.0,0.0,53.0,12.0,2.6,70.0,A
305723000,2024-09-01T00:00:02,24.21992,-79.39359,11.9,344.1,349.0,PARADERO,IMO9368998,V2QV7,71.0,0.0,140.0,22.0,6.2,71.0,A
356440000,2024-09-01T00:00:03,38.93689,-76.41432,0.1,303.8,157.0,MSC MAGALI,IMO9625932,3EYT6,70.0,1.0,253.0,43.0,9.0,70.0,A
366971370,2024-09-01T00:00:00,45.22325,-83.14358,14.7,333.5,329.0,EDWIN H GOTT,IMO7606061,WDH7558,70.0,0.0,305.0,32.0,7.3,70.0,A
563758000,2024-09-01T00:00:02,25.71877,-114.0297,20.0,140.6,139.0,NYK RUMINA,IMO9416991,9V7645,70.0,0.0,294.0,32.0,11.8,70.0,A
368371570,2024-09-01T00:00:04,30.39688,-88.26123,0.0,72.0,511.0,MISS SERENA,IMO8998124,WDP6324,70.0,7.0,48.0,12.0,3.0,70.0,A
538008454,2024-09-01T00:00:01,31.62218,-80.40808,13.0,334.0,334.0,PRAETORIUS,IMO9470856,V7A2375,70.0,0.0,169.0,27.0,9.2,70.0,A
367050160,2024-09-01T00:00:02,47.36394,-90.75383,11.9,51.0,49.0,BURNS HARBOR,IMO7514713,WDC6027,70.0,0.0,330.0,34.0,7.2,70.0,A
566318000,2024-09-01T00:00:00,49.2893,-123.07517,0.0,170.7,107.0,APL CHONGQING,IMO9461867,9V9373,74.0,0.0,349.0,45.0,14.3,74.0,A
256170000,2024-09-01T00:00:00,42.97116,-66.87495,16.3,4.3,10.0,CMA CGM SURABAYA,IMO9412830,9HA5723,70.0,0.0,172.0,27.0,7.1,70.0,A
367196000,2024-09-01T00:00:03,32.35974,-120.94835,20.6,259.7,262.0,MOKIHANA,IMO7908005,WNRD,70.0,0.0,262.0,32.0,11.0,70.0,A
533180090,2024-09-01T00:00:01,36.40427,-122.78157,15.5,327.0,327.0,GRAND VISION,IMO9082324,9MVC6,70.0,0.0,180.0,32.0,8.7,70.0,A
255805854,2024-09-01T00:00:06,23.65817,-112.26,11.0,142.5,146.0,MSC JEONGMIN,IMO9720471,CQZA,70.0,0.0,300.0,48.0,12.5,71.0,A
636093143,2024-09-01T00:00:05,34.6418,-74.87624,11.2,168.8,174.0,DUBAI EXPRESS,IMO9440825,5LIT9,71.0,0.0,262.0,32.0,10.2,71.0,A
636022595,2024-09-01T00:00:03,39.9357,-129.2664,11.6,179.9,183.0,GLOBAL SAGE,IMO9838448,5LJO5,70.0,0.0,200.0,32.0,7.1,70.0,A
338753000,2024-09-01T00:00:05,29.12504,-90.21626,0.0,13.2,151.0,SEACOR BRAVE,IMO9753519,WDH6264,70.0,0.0,60.0,14.0,3.8,70.0,A
316001633,2024-09-01T00:00:00,42.08388,-83.13039,8.5,186.0,186.0,CSL ASSINIBOINE,IMO7413218,VCKQ,70.0,0.0,225.0,24.0,6.9,70.0,A
636021387,2024-09-01T00:00:01,32.46783,-78.88447,11.6,52.5,53.0,EVER FAVOR,IMO9850850,5LDS5,71.0,0.0,334.0,48.0,11.6,71.0,A
477314100,2024-09-01T00:00:02,33.63549,-127.7719,16.9,300.8,302.0,OOCL HO CHI MINH CIT,IMO9613599,VROK8,70.0,0.0,335.0,43.0,13.3,70.0,A
563203200,2024-09-01T00:00:02,48.69952,-127.25738,9.2,280.0,282.0,CHAMCHURI NAREE,IMO9296274,9V9125,70.0,0.0,177.0,29.0,9.7,70.0,A
351225000,2024-09-01T00:00:03,46.4118,-124.60102,0.2,144.2,251.0,GLOBAL ROUND,IMO9644055,3FBO4,79.0,0.0,177.0,29.0,5.7,79.0,A
636014472,2024-09-01T00:00:00,31.04732,-117.00316,9.1,349.5,350.0,LAKE FUXIAN,IMO9494905,A8UC7,70.0,0.0,199.0,32.0,9.5,70.0,A
405000348,2024-09-01T00:00:02,29.70142,-95.01174,9.0,103.2,99.0,ZARAAR HANIF,IMO9454187,S2BQ6,70.0,0.0,190.0,32.0,9.2,70.0,A
366972020,2024-09-01T00:00:03,42.26668,-87.30416,11.5,192.7,193.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70.0,0.0,234.0,21.0,0.0,70.0,A
636017070,2024-09-01T00:00:04,37.58972,-73.65385,13.8,208.3,211.0,ARMIA KRAJOWA,IMO9708033,D5JD7,70.0,0.0,180.0,30.0,7.4,70.0,A
309905000,2024-09-01T00:00:00,32.32799,-126.8771,13.2,301.1,305.0,GARNET LEADER,IMO9357327,C6WE4,70.0,0.0,199.0,32.0,8.2,70.0,A
538011221,2024-09-01T00:00:05,46.61382,-130.001,14.5,297.9,301.0,JIUYANG BONANZA,IMO9330616,V7A6811,70.0,0.0,199.0,32.0,8.0,70.0,A
256849000,2024-09-01T00:00:05,28.72986,-119.49418,17.7,127.9,126.0,CMA CGM HARMONY,IMO9952828,9HA5997,70.0,0.0,272.0,43.0,13.6,70.0,A
259739000,2024-09-01T00:00:00,24.93462,-114.88503,11.6,120.5,125.0,HOEGH OSLO,IMO9382396,LAEK7,70.0,0.0,180.0,32.0,7.8,70.0,A
355256000,2024-09-01T00:00:04,28.6581,-89.59233,11.8,35.0,38.0,NORD CHESAPEAKE,IMO9767778,3FYO7,70.0,0.0,200.0,32.0,12.7,70.0,A
413492850,2024-09-01T00:00:01,27.70801,-130.56608,12.2,276.8,278.0,TIAN EN,IMO9774587,BOKG,70.0,0.0,190.0,28.0,9.1,70.0,A
311001338,2024-09-01T00:00:00,48.52473,-124.88987,12.9,269.0,270.0,LARCH ARROW,IMO9419230,C6GS6,79.0,0.0,196.0,32.0,11.6,79.0,A
259885000,2024-09-01T00:00:03,27.81035,-97.34813,11.5,268.7,267.0,STAR HARMONIA,IMO9103130,LAGB5,70.0,0.0,198.0,31.0,10.7,70.0,A
431080000,2024-09-01T00:00:02,34.10137,-119.53225,9.4,103.3,104.0,ONE BLUE JAY,IMO9741372,7KDP,70.0,0.0,364.0,51.0,13.1,70.0,A
316003878,2024-09-01T00:00:00,44.98035,-74.84341,2.3,248.6,254.0,WILF SEYMOUR,IMO5215789,CFG8081,70.0,0.0,159.0,24.0,4.9,70.0,A
636018304,2024-09-01T00:00:04,37.43729,-76.08348,16.9,22.7,23.0,SIEM ARISTOTLE,IMO9841029,D5PC8,70.0,0.0,200.0,38.0,8.6,70.0,A
311056900,2024-09-01T00:00:02,34.8141,-126.04966,11.3,327.3,325.0,CSL TECUMSEH,IMO9600994,C6ZJ6,70.0,0.0,228.0,32.0,8.5,70.0,A
366904950,2024-09-01T00:00:03,46.58047,-87.38903,0.0,308.9,319.0,LEE A TREGURTHA,IMO5385625,WUR8857,70.0,5.0,252.0,23.0,6.4,70.0,A
