Date,Empty Exports,Loaded Exports,Empty Imports,Loaded Imports,Total TEUs,Total Imports,Total Exports,latitude,longitude,Count of Event_Cocaine,Count of Event_Ecstasy,Count of Event_Fentanyl,Count of Event_Heroin,Count of Event_Ketamine,Count of Event_Khat (Catha Edulis),Count of Event_Lsd,Count of Event_Marijuana,Count of Event_Methamphetamine,Count of Event_Other Drugs**,Sum Qty (lbs)_Cocaine,Sum Qty (lbs)_Ecstasy,Sum Qty (lbs)_Fentanyl,Sum Qty (lbs)_Heroin,Sum Qty (lbs)_Ketamine,Sum Qty (lbs)_Khat (Catha Edulis),Sum Qty (lbs)_Lsd,Sum Qty (lbs)_Marijuana,Sum Qty (lbs)_Methamphetamine,Sum Qty (lbs)_Other Drugs**,Sum_of_Counts
2019-05,169.448,132.315,1.263,340.68,643.706,341.943,301.76300000000003,40.6909464495114,-74.15705749185668,7.0,42.0,2.0,,13.0,1.0,1.0,16.0,10.0,748.0,41.311100502608,75.74201473272001,0.00881849048,,103.474403594224,383.60433588,0.0110231131,21.3447593747684,2.05691290446,1322.0256537761638,840.0
2019-05,42362.95,78069.85,16698.75,85969.6,223101.15000000002,102668.35,120432.8,37.90095694063927,-122.20986401826484,6.0,21.0,,1.0,2.0,,1.0,54.0,13.0,150.0,6.03405211094,4.900545390867,,0.038029740195,0.0330472930738,,0.0076500404914,60.03176371146901,22.8435941092016,1055.7542879268758,248.0
2019-06,425132.25,273151.0,15738.5,727923.5,1441945.25,743662.0,698283.25,33.804338012958965,-118.37905453563714,13.0,13.0,2.0,,3.0,,2.0,195.0,17.0,55.0,2.834262840272,1.317702939974,0.00661386786,,0.036596735492,,0.0239642478794,1689.5960779880718,30.584950069522,84.5158395584388,300.0
2019-06,6024.0,34705.0,15707.0,22463.0,78899.0,38170.0,40729.0,26.14492877245509,-79.93771224550898,21.0,8.0,20.0,1.0,5.0,,16.0,45.0,2.0,158.0,143.8789853217142,3.190529855664,0.0480607731159999,0.770956530214,13.202823484394004,,0.100971715996,82.98602987619458,5.521036427266,270.3839129770896,276.0
2019-06,35112.75,74900.95,12821.75,80894.7,203730.15,93716.45,110013.7,37.90095694063927,-122.20986401826484,7.0,25.0,,3.0,5.0,,5.0,67.0,18.0,132.0,0.5480912295582001,15.593450114843398,,0.081681268071,4.6282304048446,,30.2738116791614,57.84237503377321,174.84238091018537,438.96051389274686,262.0
2019-06,19897.0,106429.0,20003.0,105159.0,251488.0,125162.0,126326.0,29.602093408239703,-94.66715344569288,3.0,,,1.0,1.0,1.0,,13.0,,16.0,10.279295474238198,,,0.563060617148,2.425084882,440.924524,,6.7100114524582,,19.978951569226,35.0
2019-06,185.055,122.663,1.601,301.708,611.027,303.309,307.718,40.6909464495114,-74.15705749185668,11.0,73.0,1.0,2.0,15.0,3.0,1.0,9.0,5.0,751.0,51.641962099928,256.2691032534802,2.05470828184,13.61795392374,118.05004558409198,1378.5437120021045,0.00220462262,712.6712024034164,0.1947122697984,1167.6282375646213,871.0
2019-06,59432.0,76558.75,13320.0,122645.25,343220.94,135965.25,135990.75,47.449354639175255,-122.42877860824744,2.0,1.0,,1.0,,,2.0,114.0,1.0,33.0,0.0065697754076,0.005732018812,,0.004188782978,,,0.00110231131,13.525977068033598,0.0021384839414,12.112240766732398,154.0
2019-07,24035.0,104470.0,20426.0,111062.0,259993.0,131488.0,128505.0,29.602093408239703,-94.66715344569288,4.0,1.0,,,,,,18.0,,59.0,0.032848877038,0.02425084882,,,,,,5.9458231136876,,52.56512577582679,82.0
2019-07,36266.45,76414.2,14912.75,90598.05,218191.45,105510.8,112680.65,37.90095694063927,-122.20986401826484,6.0,16.0,1.0,1.0,1.0,,8.0,56.0,5.0,233.0,0.2836908387416,6.6110238968202,0.09369646135,0.05952481074,1.47930177802,,80.51722732764,60.69178363144459,10.753928678098,1272.6833555773862,327.0
2019-07,6325.0,34328.0,14369.0,25801.0,80823.0,40170.0,40653.0,26.14492877245509,-79.93771224550898,23.0,11.0,22.0,1.0,10.0,,72.0,42.0,6.0,368.0,75.59474594170402,1.859378717708,0.055776952286,0.8377565956,2.5357569375240003,,0.408737033748,88.03560775617363,18.48355604608,764.3320801654239,555.0
2019-07,52580.0,73827.5,8965.0,122945.65,326514.63,131910.65,126407.5,47.449354639175255,-122.42877860824744,4.0,6.0,,,1.0,,,159.0,2.0,101.0,0.004188782978,18.96306146593,,,0.001763698096,,,8.780130046411994,0.0735241643769999,30.5213246607088,273.0
2019-07,455123.0,272994.25,16028.7,789788.2,1533935.15,805816.9,728117.25,33.804338012958965,-118.37905453563714,10.0,15.0,,,4.0,,2.0,382.0,17.0,104.0,54.963887463744,1.4987906419808,,,0.751114926634,,0.0862007444419999,1651.1574464357427,92.15432782731,804.3779697926406,534.0
