,Date,Empty Exports,Loaded Exports,Empty Imports,Loaded Imports,Total TEUs,Total Imports,Total Exports,latitude,longitude,Count of Event_Cocaine,Count of Event_Ecstasy,Count of Event_Fentanyl,Count of Event_Heroin,Count of Event_Ketamine,Count of Event_Khat (Catha Edulis),Count of Event_Lsd,Count of Event_Marijuana,Count of Event_Methamphetamine,Count of Event_Other Drugs**,Sum Qty (lbs)_Cocaine,Sum Qty (lbs)_Ecstasy,Sum Qty (lbs)_Fentanyl,Sum Qty (lbs)_Heroin,Sum Qty (lbs)_Ketamine,Sum Qty (lbs)_Khat (Catha Edulis),Sum Qty (lbs)_Lsd,Sum Qty (lbs)_Marijuana,Sum Qty (lbs)_Methamphetamine,Sum Qty (lbs)_Other Drugs**,Sum_of_Counts,Ratio_Cocaine,Ratio_Ecstasy,Ratio_Fentanyl,Ratio_Heroin,Ratio_Ketamine,Ratio_Khat (Catha Edulis),Ratio_Lsd,Ratio_Marijuana,Ratio_Methamphetamine,Ratio_Other Drugs**,Hub Portuario
122,2020-06,9392.0,97635.0,17002.0,86903.0,210932.0,103905.0,107027.0,29.602093408239703,-94.66715344569288,,,1.0,,,2.0,,148.0,,25.0,,,0.04188782978,,,1130.4863870836,,92.3251419879076,,20.6368991439388,176.0,,,0.04188782978,,,565.2431935418,,0.6238185269453216,,0.8254759657575519,Houston
123,2020-06,40902.5,70431.25,6939.0,104115.0,287035.75,111054.0,111333.75,47.449354639175255,-122.42877860824744,1.0,1.0,,,,,8.0,36.0,5.0,19.0,0.006172943336,0.021825763938,,,,,3.47999680567,3.4886389263404003,0.0477080334968,2.3128916368682,70.0,0.006172943336,0.021825763938,,,,,0.43499960070875,0.0969066368427889,0.00954160669936,0.12173113878253684,Seattle/Tacoma
124,2020-06,146701.0,97769.0,2782.0,264054.0,511306.0,266836.0,244470.0,40.6909464495114,-74.15705749185668,152.0,1566.0,5.0,486.0,23.0,3.0,474.0,12.0,260.0,580.0,1.81660903888,297.10817200692,0.065697754076,7.262026910279999,76.55662279081,1566.715064903,1.7544386809959982,12.18935846598,16.2273011643196,558.6089990612434,3561.0,0.011951375255789473,0.18972424776942526,0.0131395508152,0.01494244220222222,3.3285488169917388,522.2383549676666,0.0037013474282615996,1.015779872165,0.06241269678584461,0.9631189638986954,Newark/New York
125,2020-06,30007.25,70638.45,15902.0,82463.75,199011.45,98365.75,100645.7,37.90095694063927,-122.20986401826484,4.0,8.0,,1.0,,,,120.0,7.0,28.0,21.481401884756,3.7034132619808,,0.0661386786,,,,114.9594733180188,14.283309030456,106.8438165292748,168.0,5.370350471189,0.4629266577476,,0.0661386786,,,,0.95799561098349,2.0404727186365714,3.815850590331243,Oakland
126,2020-07,497756.7,264955.7,13923.0,832835.7,1609470.15,846758.7,762712.45,33.804338012958965,-118.37905453563714,6.0,26.0,2.0,1.0,5.0,,,122.0,13.0,98.0,0.9558582293534,11.9520749333894,0.0174385649241999,0.004629707502,1.047416206762,,,182.3553600133,276.833139619828,39.636248698194,273.0,0.15930970489223334,0.45969518974574614,0.00871928246209995,0.004629707502,0.2094832413524,,,1.4947160656827867,21.29485689383292,0.4044515173285102,Los Angeles/Long Beach
127,2020-07,175859.0,102740.0,2785.0,326079.0,607463.0,328864.00000000006,278599.0,40.6909464495114,-74.15705749185668,286.0,1264.0,,444.0,40.0,30.0,1636.0,30.0,186.0,722.0,9.837026130440002,382.7154320396156,,6.309629938440002,1.5829190411600005,15862.0833810904,5.7183501517559865,310.26615346722326,6.146487864560001,581.6361059573343,4638.0,0.034395196260279724,0.3027811962338731,,0.014210878239729736,0.039572976029000013,528.7361127030133,0.0034953240536405787,10.342205115574108,0.03304563368043011,0.8055901744561417,Newark/New York
128,2020-07,40351.75000000003,56547.0,5984.0,103389.25,270388.46,109373.25,96898.75000000004,47.449354639175255,-122.42877860824744,,2.0,,1.0,,,2.0,94.0,2.0,30.0,,0.021384839414,,0.00551155655,,,0.00220462262,17.741039147663997,0.00220462262,13.0906743317146,131.0,,0.010692419707,,0.00551155655,,,0.00110231131,0.1887344590177021,0.00110231131,0.4363558110571534,Seattle/Tacoma
129,2020-07,10130.0,25867.0,10725.0,22108.0,68830.0,32833.0,35997.0,26.14492877245509,-79.93771224550898,36.0,50.0,,,,,10.0,36.0,6.0,1112.0,114.686232390496,20.316479292348,,,,,0.0705699700662,66.25905099505201,7.8594796403,1588.239192374132,1250.0,3.1857286775137776,0.40632958584696,,,,,0.00705699700662,1.8405291943070001,1.3099132733833334,1.4282726550127087,Miami/Fort Lauderdale
130,2020-07,12212.0,98509.0,21677.0,102339.0,234737.0,124016.0,110721.0,29.602093408239703,-94.66715344569288,1.0,1.0,,,,,,510.0,1.0,110.0,0.001322773572,0.000881849048,,,,,,329.2720727968858,0.28219169536,162.7798984759864,623.0,0.001322773572,0.000881849048,,,,,,0.6456315152880114,0.28219169536,1.4798172588726037,Houston
131,2020-07,39651.25,71524.9,11484.25,96419.9,219080.3,107904.15,111176.15,37.90095694063927,-122.20986401826484,4.0,3.0,,,1.0,2.0,1.0,138.0,16.0,120.0,0.0160055602211999,0.377872317068,,,0.004960400895,940.060785507528,0.04188782978,227.6101335510164,0.7364762324371998,864.2416971680127,285.0,0.004001390055299975,0.12595743902266668,,,0.004960400895,470.030392753764,0.04188782978,1.6493487938479447,0.04602976452732499,7.202014143066773,Oakland
